id,name,nation,role,salary_rank,comma_less_salary,team,season,salary
2164,Jos Buttler,England,Wicketkeeper Batsman,72,38000000,MI,2017,"3,80,00,000"
2165,Karn Sharma,India,Bowler,49,32000000,MI,2017,"3,20,00,000"
2166,Kieron Pollard,West Indies,All-Rounder,14,95000000,MI,2017,"9,50,00,000"
2167,Krishnappa Gowtham,India,All-Rounder,61,20000000,MI,2017,"2,00,00,000"
2168,Krunal Pandya,India,All-Rounder,41,20000000,MI,2017,"2,00,00,000"
2169,Kulwant Khejroliya,India,Bowler,316,1000000,MI,2017,"10,00,000"
2170,Lasith Malinga,Sri Lanka,Bowler,29,75000000,MI,2017,"7,50,00,000"
2171,Lendl Simmons,West Indies,Batsman,297,5500000,MI,2017,"55,00,000"
2172,Mitchell Johnson,Australia,Bowler,66,20000000,MI,2017,"2,00,00,000"
2173,MItchell McClenaghan,New Zealand,Bowler,237,3000000,MI,2017,"30,00,000"
2174,Nicholas Pooran,West Indies,Wicketkeeper Batsman,138,3000000,MI,2017,"30,00,000"
2175,Nitish Rana,India,Batsman,128,1000000,MI,2017,"10,00,000"
2176,Parthiv Patel,India,Wicketkeeper Batsman,88,14000000,MI,2017,"1,40,00,000"
2177,Rohit Sharma,India,Batsman,2,125000000,MI,2017,"12,50,00,000"
2178,Saurabh Tiwary,India,Batsman,65,3000000,MI,2017,"30,00,000"
2179,Shreyas Gopal,India,All-Rounder,358,1000000,MI,2017,"10,00,000"
2180,Siddhesh Lad,India,Batsman,395,1000000,MI,2017,"10,00,000"
2181,Tim Southee,New Zealand,Bowler,163,25000000,MI,2017,"2,50,00,000"
2182,Vinay Kumar,India,Bowler,78,29950000,MI,2017,"2,99,50,000"
2183,AB de Villiers,South Africa,Wicketkeeper Batsman,5,95000000,RCB,2017,"9,50,00,000"
2184,Adam Milne,New Zealand,Bowler,193,7000000,RCB,2017,"70,00,000"
2185,Aniket Choudhary,India,Bowler,286,20000000,RCB,2017,"2,00,00,000"
2186,Avesh khan,India,Bowler,267,1000000,RCB,2017,"10,00,000"
2187,Billy Stanlake,Australia,Bowler,317,3000000,RCB,2017,"30,00,000"
2188,Chris Gayle,West Indies,All-Rounder,21,75000000,RCB,2017,"7,50,00,000"
2189,Harpreet Singh,India,Batsman,408,2000000,RCB,2017,"20,00,000"
2190,Harshal Patel,India,Bowler,281,4000000,RCB,2017,"40,00,000"
2191,Iqbal Abdulla,India,All-Rounder,291,1000000,RCB,2017,"10,00,000"
2192,Kedar Jadhav,India,All-Rounder,52,21750000,RCB,2017,"2,17,50,000"
2193,KL Rahul,India,Batsman,30,10000000,RCB,2017,"1,00,00,000"
2194,Mandeep Singh,India,All-Rounder,168,8000000,RCB,2017,"80,00,000"
2195,Mitchell Starc,Australia,Bowler,92,50000000,RCB,2017,"5,00,00,000"
2196,Pawan Negi,India,Bowler,132,10000000,RCB,2017,"1,00,00,000"
2197,Praveen Dubey,India,Bowler,499,1000000,RCB,2017,"10,00,000"
2198,Sachin Baby,India,Batsman,393,1000000,RCB,2017,"10,00,000"
2199,Samuel Badree,West Indies,Bowler,322,5000000,RCB,2017,"50,00,000"
2200,Sarfaraz Khan,India,Batsman,207,5000000,RCB,2017,"50,00,000"
2201,Shane Watson,Australia,All-Rounder,10,95000000,RCB,2017,"9,50,00,000"
2202,Sreenath Aravind,India,Bowler,377,1000000,RCB,2017,"10,00,000"
2203,Stuart Binny,India,All-Rounder,107,20000000,RCB,2017,"2,00,00,000"
2204,Tabraiz Shamsi,South Africa,Bowler,615,1000000,RCB,2017,"10,00,000"
2205,Travis Head,Australia,Batsman,351,5000000,RCB,2017,"50,00,000"
2206,Tymal Mills,England,Bowler,149,120000000,RCB,2017,"12,00,00,000"
2207,Virat Kohli,India,Batsman,3,125000000,RCB,2017,"12,50,00,000"
2208,Vishnu Vinod,India,Wicketkeeper Batsman,563,1000000,RCB,2017,"10,00,000"
2209,Yuzvendra Chahal,India,Bowler,77,1000000,RCB,2017,"10,00,000"
2210,Adam Zampa,Australia,Bowler,248,3000000,RPS,2017,"30,00,000"
2211,Ajinkya Rahane,India,Batsman,23,95000000,RPS,2017,"9,50,00,000"
2212,Ankit Sharma,India,Bowler,390,1000000,RPS,2017,"10,00,000"
2213,Ankush Bains,India,Wicketkeeper Batsman,459,1000000,RPS,2017,"10,00,000"
2214,Ashok Dinda,India,Bowler,167,5000000,RPS,2017,"50,00,000"
2215,Baba Aparajith,India,All-Rounder,481,1000000,RPS,2017,"10,00,000"
2216,Ben Stokes,England,All-Rounder,17,145000000,RPS,2017,"14,50,00,000"
2217,Dan Christian,Australia,All-Rounder,152,10000000,RPS,2017,"1,00,00,000"
2218,Deepak Chahar,India,Bowler,246,1000000,RPS,2017,"10,00,000"
2219,Faf Du Plessis,South Africa,Batsman,67,40000000,RPS,2017,"4,00,00,000"
2220,Imran Tahir,South Africa,Bowler,187,5000000,RPS,2017,"50,00,000"
2221,Ishwar Pandey,India,Bowler,249,2000000,RPS,2017,"20,00,000"
2222,Jaskaran Singh,India,Bowler,537,1000000,RPS,2017,"10,00,000"
2223,Jaydev Unadkat,India,Bowler,44,3000000,RPS,2017,"30,00,000"
2224,Lockie Ferguson,New Zealand,Bowler,205,5000000,RPS,2017,"50,00,000"
2225,Manoj Tiwary,India,Batsman,89,5000000,RPS,2017,"50,00,000"
2226,Mayank Agarwal,India,Batsman,157,16000000,RPS,2017,"1,60,00,000"
2227,Milind Tandon,India,All-Rounder,723,1000000,RPS,2017,"10,00,000"
2228,Mitchell Marsh,Australia,All-Rounder,101,48000000,RPS,2017,"4,80,00,000"
2229,MS Dhoni,India,Wicketkeeper Batsman,1,125000000,RPS,2017,"12,50,00,000"
2230,Rahul Chahar,India,Bowler,181,1000000,RPS,2017,"10,00,000"
2231,Rahul Tripathi,India,Batsman,175,1000000,RPS,2017,"10,00,000"
2232,Rajat Bhatia,India,All-Rounder,200,6000000,RPS,2017,"60,00,000"
2233,Ravichandran Ashwin,India,All-Rounder,15,75000000,RPS,2017,"7,50,00,000"
2234,Saurabh Kumar,India,All-Rounder,724,1000000,RPS,2017,"10,00,000"
2235,Shardul Thakur,India,Bowler,155,2000000,RPS,2017,"20,00,000"
2236,Steven Smith,Australia,Batsman,31,55000000,RPS,2017,"5,50,00,000"
2237,Usman Khawaja,Australia,Batsman,303,10000000,RPS,2017,"1,00,00,000"
2238,Washington Sundar,India,Batsman,137,1000000,RPS,2017,"10,00,000"
2239,Abhimanyu Mithun,India,Bowler,220,3000000,SRH,2017,"30,00,000"
2240,Ashish Nehra,India,Bowler,59,55000000,SRH,2017,"5,50,00,000"
2241,Barinder Sran,India,Bowler,174,12000000,SRH,2017,"1,20,00,000"
2242,Ben Cutting,Australia,Bowler,178,5000000,SRH,2017,"50,00,000"
2243,Ben Laughlin,Australia,Bowler,385,3000000,SRH,2017,"30,00,000"
2244,Bhuvneshwar kumar,India,Bowler,25,42500000,SRH,2017,"4,25,00,000"
2245,Bipul Sharma,India,All-Rounder,331,1000000,SRH,2017,"10,00,000"
2246,Chris Jordan,England,Bowler,171,5000000,SRH,2017,"50,00,000"
2247,David Warner,Australia,Batsman,16,55000000,SRH,2017,"5,50,00,000"
2248,Deepak Hooda,India,All-Rounder,105,42000000,SRH,2017,"4,20,00,000"
2249,Eklavya Dwivedi,India,Wicketkeeper Batsman,296,7500000,SRH,2017,"75,00,000"
2250,Kane Williamson,New Zealand,Batsman,130,6000000,SRH,2017,"60,00,000"
2251,Mohammad Nabi,Afghanistan,All-Rounder,227,3000000,SRH,2017,"30,00,000"
2252,Mohammed Siraj,India,Bowler,136,26000000,SRH,2017,"2,60,00,000"
2253,Moises Henriques,Australia,All-Rounder,117,10000000,SRH,2017,"1,00,00,000"
2254,Mustafizur Rahman,Bangladesh,Bowler,198,14000000,SRH,2017,"1,40,00,000"
2255,Naman Ojha,India,Wicketkeeper Batsman,188,5000000,SRH,2017,"50,00,000"
2256,Pravin Tambe,India,Bowler,409,1000000,SRH,2017,"10,00,000"
2257,Rashid Khan,Afghanistan,Bowler,39,40000000,SRH,2017,"4,00,00,000"
2258,Ricky Bhui,India,Batsman,410,1000000,SRH,2017,"10,00,000"
2259,Shikhar Dhawan,India,Batsman,13,125000000,SRH,2017,"12,50,00,000"
2260,Siddarth Kaul,India,Bowler,112,1000000,SRH,2017,"10,00,000"
2261,Tanmay Agarwal,India,Batsman,560,1000000,SRH,2017,"10,00,000"
2262,Vijay Shankar,India,All-Rounder,131,3500000,SRH,2017,"35,00,000"
2263,Yuvraj Singh,India,Batsman,8,70000000,SRH,2017,"7,00,00,000"
2264,Ambati Rayudu,India,Batsman,68,22000000,CSK,2018,"2,20,00,000"
2265,Chaitanya Bishnoi,India,Batsman,496,2000000,CSK,2018,"20,00,000"
2266,David Willey,England,All-Rounder,233,20000000,CSK,2018,"2,00,00,000"
2267,Deepak Chahar,India,Bowler,246,8000000,CSK,2018,"80,00,000"
2268,Dhruv Shorey,India,Batsman,513,2000000,CSK,2018,"20,00,000"
2269,Dwayne Bravo,West Indies,All-Rounder,33,64000000,CSK,2018,"6,40,00,000"
2270,Faf Du Plessis,South Africa,Batsman,67,16000000,CSK,2018,"1,60,00,000"
2271,Harbhajan Singh,India,Bowler,22,20000000,CSK,2018,"2,00,00,000"
2272,Imran Tahir,South Africa,Bowler,187,10000000,CSK,2018,"1,00,00,000"
2273,Kanishk Seth,India,All-Rounder,616,2000000,CSK,2018,"20,00,000"
2274,Karn Sharma,India,Bowler,49,50000000,CSK,2018,"5,00,00,000"
2275,Kedar Jadhav,India,All-Rounder,52,78000000,CSK,2018,"7,80,00,000"
